Space,TopLeftX,TopLeftY,TopRightX,TopRightY,BottomLeftX,BottomLeftY,BottomRightX,BottomRightY
GO,665,655,725,655,665,715,725,715
Elkhorn,604,655,660,655,604,715,660,715
CommunityChest,542,655,599,655,542,715,599,715
Bannack,481,655,537,655,481,715,537,715
LoseATurn,419,655,476,655,419,715,476,715
HighwoodMountains,358,655,414,655,358,715,414,715
GreatFalls,297,655,353,655,297,715,353,715
Chance,235,655,292,655,235,715,292,715
Missoula,173,655,230,655,173,715,230,715
Billings,112,655,168,655,112,715,168,715
Butte,47,655,107,655,47,715,107,715
Helena,47,596,108,596,47,650,108,650
Farm,47,534,108,534,47,591,108,591
Kalispell,47,473,108,473,47,529,108,529
Bozeman,47,412,108,412,47,468,108,468
BeartoothMountains,47,351,108,351,47,407,108,407
MedicineRocksStatePark,47,287,108,287,47,345,108,345
Chance,47,225,108,225,47,282,108,282
SpringMeadowStatePark,47,164,108,164,47,220,108,220
LonePineStatePark,47,102,108,102,47,158,108,158
RestArea,47,41,108,41,47,97,108,97
CanyonFerryLake,113,37,168,37,113,97,168,97
CommunityChest,173,37,230,37,173,97,230,97
FortPeckLake,235,37,291,37,235,97,291,97
FlatheadLake,296,37,353,37,296,97,353,97
BighornMountains,358,37,416,37,358,97,416,97
ClarkForkRiver,421,37,478,37,421,97,478,97
MadisonRiver,482,37,538,37,482,97,538,97
Ranch,542,37,597,37,542,97,597,97
MissouriRiver,604,37,661,37,604,97,661,97
GoToButte,665,37,725,37,665,97,725,97
Whitefish,665,101,725,101,665,158,725,158
RedLodge,665,163,725,163,665,221,725,221
CommunityChest,665,226,725,226,665,281,725,281
BigSky,665,286,725,286,665,341,725,341
CrazyMountains,665,348,725,348,665,404,725,404
GoToRestArea,665,411,725,411,665,466,725,466
GlacierNationalPark,665,473,725,473,665,526,725,526
Chance,665,533,725,533,665,587,725,587
YellowstoneNationalPark,665,593,725,593,665,648,725,648
